2023-03-03 14:07:12,075 [AppLog] INFO : 进入JOB参数设置：修改前初始参数：灰度数据格式{1bits}打印灰阶{1阶}m_XPrintDpi{1270Dpi}墨车运动速度{50MM/s}X向起打位置{50MM}Y向起打位置{20MM}
2023-03-03 14:07:13,978 [AppLog] INFO : 退出JOB参数设置：修改后参数：灰度数据格式{1bits}打印灰阶{1阶}m_XPrintDpi{1270Dpi}墨车运动速度{50MM/s}X向起打位置{50MM}Y向起打位置{20MM}
2023-03-03 14:07:15,117 [AppLog] INFO : 进入数据加载模块
2023-03-03 14:07:24,898 [AppLog] INFO : CAD数据加载：添加.bjgroup格式CAD数据成功-D:\hk\最终零件\new-zuhe-80.bjgroup
2023-03-03 14:07:33,197 [AppLog] INFO : 进入手动调试子模块！
2023-03-03 14:07:38,501 [AppLog] INFO : 退出手动调试子模块,已执行修改
==========================================================================
2023-03-03 14:07:40,155 [AppLog] INFO : 启动打印任务：准备开启数据处理及打印线程
2023-03-03 14:07:40,171 [AppLog] INFO : 停止打印任务，释放板卡内存：IDP_StopPrintJob()：ReturnFlag{True}
2023-03-03 14:07:40,171 [AppLog] INFO : 启动打印线程成功： DataTaskTHREAD
2023-03-03 14:07:40,171 [AppLog] INFO : 启动打印线程成功：PrintTaskTHREAD
2023-03-03 14:07:40,186 [AppLog] INFO : 写入打印参数：IDP_SartPrintJob：nJobID{1}szJobName{金属3DP打印}nPixelGrayBits{1} nPrtCtl{0}nPrtXEncPos{10000}fPrtYPos{0}
2023-03-03 14:07:41,980 [AppLog] INFO : 作业写入成功：IDP_WriteImgLayerData：bpp:{1bit}灰阶:{1阶}nLayerIndex{0}LayerIndex{0}SubIndex{0}RePrintTimes{1}nBytesPerLine{2004}nWidth{16001}nHeight{7560}nXEncOff{0}nYJetOff{0}nImgStartJetIndex{0}nXDPI{1270}nYDPI{600}nPrtDir{0} nPrtFlag{1}nColorCnts{1}nReserved{System.Int32[]}
